,1,2,3,4,5
1,0.733,0.7552,0.7555999999999999,0.7558,0.756
2,0.7456,0.7646000000000001,0.7662,0.7646000000000001,0.7666000000000002
3,0.759,0.7704000000000001,0.7744000000000001,0.7764,0.7816
4,0.7718,0.7802,0.7893999999999999,0.7986,0.8016000000000001
5,0.7812,0.7964,0.8108,0.8174,0.8272
6,0.7896,0.8091999999999999,0.8286,0.8368,0.8403999999999999
7,0.7984,0.8254,0.8364,0.8346,0.8288
8,0.8082,0.8288,0.831,0.8126,0.8015999999999999
9,0.81,0.8134,0.8029999999999999,0.789,0.7844
10,0.7949999999999999,0.7953999999999999,0.7864,0.7826,0.7797999999999999
11,0.7922,0.7837999999999999,0.7792000000000001,0.7742,0.7702
12,0.7822,0.7718,0.77,0.7694000000000001,0.7644
13,0.7802,0.7692000000000001,0.7662000000000001,0.7626,0.7567999999999999
14,0.7694000000000001,0.7629999999999999,0.7584,0.7524,0.7477999999999999
15,0.7602,0.7574,0.7498,0.7448,0.7444
16,0.7562,0.751,0.7458,0.7449999999999999,0.7450000000000001
17,0.7540000000000001,0.7484,0.7445999999999999,0.7456,0.7452
18,0.7484,0.7438,0.744,0.7442000000000001,0.7430000000000001
19,0.7436,0.7404000000000001,0.742,0.7416,0.7438
20,0.7374,0.7378,0.7396,0.7418,0.7427999999999999
